data_type,day,volume,species,treatment,source,citation
real_digitized,2,5.849283537,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,3,13.67289007,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,4,NA,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,5,35.69788045,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,6,73.94783955,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,7,103.8551913,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,8,128.8565161,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,9,160.2356183,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,10,201.922734,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,11,225.4494282,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,12,236.2176877,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,13,200.8513227,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,14,231.2500259,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,15,NA,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,16,217.9409088,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,17,199.7534141,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,18,219.845256,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,19,NA,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,20,NA,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,21,227.1176041,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,22,NA,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,23,NA,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,24,NA,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
real_digitized,25,NA,Paramecium aurelia,monoculture,gauseR::gause_1934_book_f22,"Gause (1934) The Struggle for Existence, Fig. 22"
